Altium Designer Pick and Place Locations
E:\AD\ch438\Project Outputs for PCB_CH438\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       19/02/22
Time:       16:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C69","1uF","BottomLayer","0603_C","1150.000mil","2659.882mil","90","ÌùÆ¬µçÈİ"
"C37","104","TopLayer","0603_C","2722.166mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C36","104","TopLayer","0603_C","3020.000mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C35","104","TopLayer","0603_C","2442.166mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C34","104","TopLayer","0603_C","2885.000mil","2282.382mil","90","ÌùÆ¬µçÈİ"
"C33","104","TopLayer","0603_C","2315.000mil","2282.382mil","90","ÌùÆ¬µçÈİ"
"C32","104","TopLayer","0603_C","2885.000mil","2437.382mil","270","ÌùÆ¬µçÈİ"
"C31","104","TopLayer","0603_C","2315.000mil","2437.382mil","270","ÌùÆ¬µçÈİ"
"C30","104","TopLayer","0603_C","2000.000mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C28","104","TopLayer","0603_C","2144.410mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C27","104","TopLayer","0603_C","1555.000mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C26","104","TopLayer","0603_C","1860.000mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C29","104","TopLayer","0603_C","1410.000mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C23","104","TopLayer","0603_C","1140.000mil","2282.382mil","90","ÌùÆ¬µçÈİ"
"C25","104","TopLayer","0603_C","1265.000mil","2112.382mil","180","ÌùÆ¬µçÈİ"
"C19","104","TopLayer","0603_C","825.000mil","2687.500mil","180","ÌùÆ¬µçÈİ"
"C17","104","TopLayer","0603_C","1018.479mil","2229.370mil","270","ÌùÆ¬µçÈİ"
"C16","10uF","TopLayer","0603_C","948.479mil","2229.370mil","90","ÌùÆ¬µçÈİ"
"C13","104","BottomLayer","0603_C","954.685mil","860.000mil","270","ÌùÆ¬µçÈİ"
"C12","10uF","BottomLayer","0603_C","1024.685mil","860.000mil","90","ÌùÆ¬µçÈİ"
"C6","18pF","TopLayer","0603_C","685.000mil","909.055mil","0","ÌùÆ¬µçÈİ"
"C5","10pF","TopLayer","0603_C","526.912mil","880.721mil","270","ÌùÆ¬µçÈİ"
"C4","10pF","TopLayer","0603_C","526.912mil","1030.720mil","90","ÌùÆ¬µçÈİ"
"C1","104","BottomLayer","0603_C","448.715mil","969.055mil","270","ÌùÆ¬µçÈİ"
